Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Larry Bird,29,82,81,38,9.7,19.6,0.496,1,2.4,0.423,8.7,17.2,0.506,0.521,5.4,6,0.896,2.3,7.5,9.8,6.8,2,0.6,3.2,2.2,25.8
2,Kevin McHale,28,68,62,35.3,8.3,14.4,0.574,0,0,,8.3,14.4,0.574,0.574,4.8,6.2,0.776,2.5,5.6,8.1,2.7,0.4,2,2.2,2.8,21.3
3,Dennis Johnson,31,78,78,35,6.2,13.6,0.455,0.1,0.5,0.143,6.1,13.1,0.468,0.458,3.1,3.8,0.818,0.9,2.6,3.4,5.8,1.4,0.4,2.2,2.6,15.6
4,Robert Parish,32,81,80,31.7,6.5,11.9,0.549,0,0,,6.5,11.9,0.549,0.549,3,4.1,0.731,3,6.5,9.5,1.8,0.8,1.4,2.3,2.7,16.1
5,Danny Ainge,26,80,78,30.1,4.4,8.8,0.504,0.3,0.9,0.356,4.1,7.9,0.521,0.522,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7
6,Jerry Sichting,29,82,7,19.5,2.9,5,0.57,0.1,0.2,0.375,2.8,4.8,0.578,0.578,0.7,0.8,0.924,0.3,0.9,1.3,2.3,0.6,0,0.9,1.4,6.5
7,Bill Walton,33,80,2,19.3,2.9,5.1,0.562,0,0,,2.9,5.1,0.562,0.562,1.8,2.5,0.713,1.7,5.1,6.8,2.1,0.5,1.3,1.9,2.6,7.6
8,Scott Wedman,33,79,19,17.7,3.6,7.7,0.473,0.2,0.6,0.354,3.4,7.1,0.483,0.487,0.6,0.9,0.662,0.8,1.6,2.4,1.1,0.5,0.3,0.7,1.6,8
9,Rick Carlisle,26,77,1,9.9,1.2,2.5,0.487,0,0.1,0,1.2,2.3,0.514,0.487,0.2,0.3,0.652,0.3,0.7,1,1.4,0.2,0.1,0.6,1.2,2.6
10,Sly Williams,28,6,0,9,0.8,3.5,0.238,0,0.7,0,0.8,2.8,0.294,0.238,1.2,2,0.583,1.2,1.3,2.5,0.3,0.2,0.2,1.2,2.5,2.8
11,David Thirdkill,25,49,0,7.9,1.1,2.2,0.491,0,0,0,1.1,2.2,0.495,0.491,1.1,1.8,0.625,0.6,0.9,1.4,0.3,0.2,0.1,0.4,1.1,3.3
12,Sam Vincent,22,57,0,7.6,1,2.8,0.364,0,0.1,0.25,1,2.8,0.367,0.367,1.1,1.2,0.929,0.2,0.6,0.8,1.2,0.3,0.1,0.9,1,3.2
13,Greg Kite,24,64,2,7.3,0.5,1.4,0.374,0,0,0,0.5,1.4,0.378,0.374,0.2,0.6,0.385,0.5,1.5,2,0.3,0,0.4,0.5,1.3,1
